function_name,complexity,batch_id,implemented
ABS,easy,1,Y
ACCRINT,easy,1,N
ACCRINTM,easy,1,N
ACOS,easy,1,Y
ACOSH,easy,1,Y
ACOT,easy,1,Y
ACOTH,easy,1,Y
ADD,easy,1,N
ADDRESS,easy,1,N
AGGREGATE,easy,1,N
AMORDEGRC,easy,1,N
AMORLINC,easy,1,N
AND,easy,1,Y
ARABIC,easy,1,Y
AREAS,easy,1,N
ARRAYFORMULA,easy,1,N
ARRAY_CONSTRAIN,easy,1,N
ASC,easy,1,N
ASIN,easy,1,Y
ASINH,easy,1,Y
ATAN,easy,1,Y
ATAN2,easy,1,Y
ATANH,easy,1,Y
AVEDEV,easy,1,Y
AVERAGE,easy,1,Y
AVERAGE.WEIGHTED,easy,1,N
AVERAGEA,easy,1,Y
AVERAGEIF,easy,1,Y
AVERAGEIFS,easy,1,Y
BAHTTEXT,easy,1,N
BASE,easy,1,Y
BESSELI,easy,1,Y
BESSELJ,easy,1,Y
BESSELK,easy,1,Y
BESSELY,easy,1,Y
BETA.DIST,easy,1,N
BETA.INV,easy,1,N
BETA.INVN,easy,1,N
BIN2DEC,easy,1,Y
BIN2HEX,easy,1,Y
BIN2OCT,easy,2,Y
BINOM.DIST,easy,2,N
BINOM.DIST.RANGE,easy,2,N
BINOM.INV,easy,2,N
BITAND,easy,2,Y
BITLSHIFT,easy,2,Y
BITOR,easy,2,Y
BITRSHIFT,easy,2,Y
BITXOR,easy,2,Y
CALL,easy,2,N
CEILING,easy,2,Y
CEILING.MATH,easy,2,N
CEILING.PRECISE,easy,2,N
CELL,easy,2,Y
CHAR,easy,2,N
CHISQ.DIST,easy,2,N
CHISQ.DIST.RT,easy,2,N
CHISQ.INV,easy,2,N
CHISQ.INV.RT,easy,2,N
CHISQ.TEST,easy,2,N
CHOOSE,easy,2,Y
CLEAN,easy,2,N
CODE,easy,2,N
COLUMN,easy,2,Y
COLUMNS,easy,2,Y
COMBIN,easy,2,Y
COMBINA,easy,2,Y
