function_name,input_shape,output_shape,notes
ABS,scalar,scalar,input:default; output:default
ACCRINT,scalar,scalar,input:default; output:default
ACCRINTM,scalar,scalar,input:default; output:default
ACOS,scalar,scalar,input:default; output:default
ACOSH,scalar,scalar,input:default; output:default
ACOT,scalar,scalar,input:default; output:default
ACOTH,scalar,scalar,input:default; output:default
ADD,scalar,scalar,input:default; output:default
ADDRESS,scalar,scalar,input:default; output:default
AGGREGATE,scalar,scalar,input:default; output:default
AMORDEGRC,scalar,scalar,input:default; output:default
AMORLINC,scalar,scalar,input:default; output:default
AND,scalar,scalar,input:default; output:default
ARABIC,scalar,scalar,input:default; output:default
AREAS,scalar,scalar,input:default; output:default
ARRAYFORMULA,scalar,spill,input:default; output:spill_list
ARRAY_CONSTRAIN,scalar,spill,input:default; output:spill_list
ASC,scalar,scalar,input:default; output:default
ASIN,scalar,scalar,input:default; output:default
ASINH,scalar,scalar,input:default; output:default
ATAN,scalar,scalar,input:default; output:default
ATAN2,scalar,scalar,input:default; output:default
ATANH,scalar,scalar,input:default; output:default
AVEDEV,scalar,scalar,input:default; output:default
AVERAGE,scalar,scalar,input:default; output:default
AVERAGE.WEIGHTED,scalar,scalar,input:default; output:default
AVERAGEA,scalar,scalar,input:default; output:default
AVERAGEIF,scalar,scalar,input:default; output:default
AVERAGEIFS,scalar,scalar,input:default; output:default
BAHTTEXT,scalar,scalar,input:default; output:default
BASE,scalar,scalar,input:default; output:default
BESSELI,scalar,scalar,input:default; output:default
BESSELJ,scalar,scalar,input:default; output:default
BESSELK,scalar,scalar,input:default; output:default
BESSELY,scalar,scalar,input:default; output:default
BETA.DIST,scalar,scalar,input:default; output:default
BETA.INV,scalar,scalar,input:default; output:default
BETA.INVN,scalar,scalar,input:default; output:default
BIN2DEC,scalar,scalar,input:default; output:default
BIN2HEX,scalar,scalar,input:default; output:default
BIN2OCT,scalar,scalar,input:default; output:default
BINOM.DIST,scalar,scalar,input:default; output:default
BINOM.DIST.RANGE,scalar,scalar,input:default; output:default
BINOM.INV,scalar,scalar,input:default; output:default
BITAND,scalar,scalar,input:default; output:default
BITLSHIFT,scalar,scalar,input:default; output:default
BITOR,scalar,scalar,input:default; output:default
BITRSHIFT,scalar,scalar,input:default; output:default
BITXOR,scalar,scalar,input:default; output:default
BYCOL,scalar,spill,input:default; output:spill_list
BYROW,scalar,spill,input:default; output:spill_list
CALL,scalar,scalar,input:default; output:default
CEILING,scalar,scalar,input:default; output:default
CEILING.MATH,scalar,scalar,input:default; output:default
CEILING.PRECISE,scalar,scalar,input:default; output:default
CELL,scalar,scalar,input:default; output:default
CHAR,scalar,scalar,input:default; output:default
CHISQ.DIST,scalar,scalar,input:default; output:default
CHISQ.DIST.RT,scalar,scalar,input:default; output:default
CHISQ.INV,scalar,scalar,input:default; output:default
CHISQ.INV.RT,scalar,scalar,input:default; output:default
CHISQ.TEST,scalar,scalar,input:default; output:default
CHOOSE,scalar,scalar,input:default; output:default
CHOOSECOLS,scalar,spill,input:default; output:spill_list
CHOOSEROWS,scalar,spill,input:default; output:spill_list
CLEAN,scalar,scalar,input:default; output:default
CODE,scalar,scalar,input:default; output:default
COLUMN,scalar,scalar,input:default; output:default
COLUMNS,scalar,scalar,input:default; output:default
COMBIN,scalar,scalar,input:default; output:default
COMBINA,scalar,scalar,input:default; output:default
COMPLEX,scalar,scalar,input:default; output:default
CONCAT,scalar,scalar,input:default; output:default
CONCATENATE,scalar,scalar,input:default; output:default
CONFIDENCE.NORM,scalar,scalar,input:default; output:default
CONFIDENCE.T,scalar,scalar,input:default; output:default
CONVERT,scalar,scalar,input:default; output:default
COPILOT,scalar,scalar,input:default; output:default
CORREL,scalar,scalar,input:default; output:default
COS,scalar,scalar,input:default; output:default
COSH,scalar,scalar,input:default; output:default
COT,scalar,scalar,input:default; output:default
COTH,scalar,scalar,input:default; output:default
COUNT,scalar,scalar,input:default; output:default
COUNTA,scalar,scalar,input:default; output:default
COUNTBLANK,scalar,scalar,input:default; output:default
COUNTIF,scalar,scalar,input:default; output:default
COUNTIFS,scalar,scalar,input:default; output:default
COUNTUNIQUE,scalar,scalar,input:default; output:default
COUPDAYBS,scalar,scalar,input:default; output:default
COUPDAYS,scalar,scalar,input:default; output:default
COUPDAYSNC,scalar,scalar,input:default; output:default
COUPNCD,scalar,scalar,input:default; output:default
COUPNUM,scalar,scalar,input:default; output:default
COUPPCD,scalar,scalar,input:default; output:default
COVARIANCE.P,scalar,scalar,input:default; output:default
COVARIANCE.S,scalar,scalar,input:default; output:default
CRITBINOM,scalar,scalar,input:default; output:default
CSC,scalar,scalar,input:default; output:default
CSCH,scalar,scalar,input:default; output:default
CUBEKPIMEMBER,scalar,scalar,input:default; output:default
CUBEMEMBER,scalar,scalar,input:default; output:default
CUBEMEMBERPROPERTY,scalar,scalar,input:default; output:default
CUBERANKEDMEMBER,scalar,scalar,input:default; output:default
CUBESET,scalar,scalar,input:default; output:default
CUBESETCOUNT,scalar,scalar,input:default; output:default
CUBEVALUE,scalar,scalar,input:default; output:default
CUMIPMT,scalar,scalar,input:default; output:default
CUMPRINC,scalar,scalar,input:default; output:default
DATE,scalar,scalar,input:default; output:default
DATEDIF,scalar,scalar,input:default; output:default
DATEVALUE,scalar,scalar,input:default; output:default
DAVERAGE,scalar,scalar,input:default; output:default
DAY,scalar,scalar,input:default; output:default
DAYS,scalar,scalar,input:default; output:default
DAYS360,scalar,scalar,input:default; output:default
DB,scalar,scalar,input:default; output:default
DBCS,scalar,scalar,input:default; output:default
DCOUNT,scalar,scalar,input:default; output:default
DCOUNTA,scalar,scalar,input:default; output:default
DDB,scalar,scalar,input:default; output:default
DEC2BIN,scalar,scalar,input:default; output:default
DEC2HEX,scalar,scalar,input:default; output:default
DEC2OCT,scalar,scalar,input:default; output:default
DECIMAL,scalar,scalar,input:default; output:default
DEGREES,scalar,scalar,input:default; output:default
DELTA,scalar,scalar,input:default; output:default
DETECTLANGUAGE,scalar,scalar,input:default; output:default
DEVSQ,scalar,scalar,input:default; output:default
DGET,scalar,scalar,input:default; output:default
DISC,scalar,scalar,input:default; output:default
DIVIDE,scalar,scalar,input:default; output:default
DMAX,scalar,scalar,input:default; output:default
DMIN,scalar,scalar,input:default; output:default
DOLLAR,scalar,scalar,input:default; output:default
DOLLARDE,scalar,scalar,input:default; output:default
DOLLARFR,scalar,scalar,input:default; output:default
DPRODUCT,scalar,scalar,input:default; output:default
DROP,scalar,spill,input:default; output:spill_list
DSTDEV,scalar,scalar,input:default; output:default
DSTDEVP,scalar,scalar,input:default; output:default
DSUM,scalar,scalar,input:default; output:default
DURATION,scalar,scalar,input:default; output:default
DVAR,scalar,scalar,input:default; output:default
DVARP,scalar,scalar,input:default; output:default
EDATE,scalar,scalar,input:default; output:default
EFFECT,scalar,scalar,input:default; output:default
ENCODEURL,scalar,scalar,input:default; output:default
EOMONTH,scalar,scalar,input:default; output:default
EPOCHTODATE,scalar,scalar,input:default; output:default
EQ,scalar,scalar,input:default; output:default
ERF,scalar,scalar,input:default; output:default
ERF.PRECISE,scalar,scalar,input:default; output:default
ERFC,scalar,scalar,input:default; output:default
ERFC.PRECISE,scalar,scalar,input:default; output:default
ERROR.TYPE,scalar,scalar,input:default; output:default
EUROCONVERT,scalar,scalar,input:default; output:default
EVEN,scalar,scalar,input:default; output:default
EXACT,scalar,scalar,input:default; output:default
EXP,scalar,scalar,input:default; output:default
EXPAND,scalar,spill,input:default; output:spill_list
EXPON.DIST,scalar,scalar,input:default; output:default
F.DIST,scalar,scalar,input:default; output:default
F.DIST.RT,scalar,scalar,input:default; output:default
F.INV,scalar,scalar,input:default; output:default
F.INV.RT,scalar,scalar,input:default; output:default
F.TEST,scalar,scalar,input:default; output:default
FACT,scalar,scalar,input:default; output:default
FACTDOUBLE,scalar,scalar,input:default; output:default
FALSE,scalar,scalar,input:default; output:default
FILTER,scalar,spill,input:default; output:spill_list
FILTERXML,scalar,scalar,input:default; output:default
FIND,scalar,scalar,input:default; output:default
FINDB,scalar,scalar,input:default; output:default
FISHER,scalar,scalar,input:default; output:default
FISHERINV,scalar,scalar,input:default; output:default
FIXED,scalar,scalar,input:default; output:default
FLATTEN,scalar,spill,input:default; output:spill_list
FLOOR,scalar,scalar,input:default; output:default
FLOOR.MATH,scalar,scalar,input:default; output:default
FLOOR.PRECISE,scalar,scalar,input:default; output:default
FORECAST,scalar,scalar,input:default; output:default
FORECAST.ETS,scalar,scalar,input:default; output:default
FORECAST.ETS.CONFINT,scalar,scalar,input:default; output:default
FORECAST.ETS.SEASONALITY,scalar,scalar,input:default; output:default
FORECAST.ETS.STAT,scalar,scalar,input:default; output:default
FORECAST.LINEAR,scalar,scalar,input:default; output:default
FORMULATEXT,scalar,scalar,input:default; output:default
FREQUENCY,scalar,matrix,input:default; output:matrix_output_list
FTEST,scalar,scalar,input:default; output:default
FV,scalar,scalar,input:default; output:default
FVSCHEDULE,scalar,scalar,input:default; output:default
GAMMA,scalar,scalar,input:default; output:default
GAMMA.DIST,scalar,scalar,input:default; output:default
GAMMA.INV,scalar,scalar,input:default; output:default
GAMMADIST,scalar,scalar,input:default; output:default
GAMMAINV,scalar,scalar,input:default; output:default
GAMMALN,scalar,scalar,input:default; output:default
GAMMALN.PRECISE,scalar,scalar,input:default; output:default
GAUSS,scalar,scalar,input:default; output:default
GCD,scalar,scalar,input:default; output:default
GEOMEAN,scalar,scalar,input:default; output:default
GESTEP,scalar,scalar,input:default; output:default
GETPIVOTDATA,scalar,scalar,input:default; output:default
GOOGLEFINANCE,scalar,scalar,input:default; output:default
GOOGLETRANSLATE,scalar,scalar,input:default; output:default
GROUPBY,scalar,spill,input:default; output:spill_list
GROWTH,scalar,scalar,input:default; output:default
GT,scalar,scalar,input:default; output:default
GTE,scalar,scalar,input:default; output:default
HARMEAN,scalar,scalar,input:default; output:default
HEX2BIN,scalar,scalar,input:default; output:default
HEX2DEC,scalar,scalar,input:default; output:default
HEX2OCT,scalar,scalar,input:default; output:default
HLOOKUP,scalar,scalar,input:default; output:default
HOUR,scalar,scalar,input:default; output:default
HSTACK,scalar,spill,input:default; output:spill_list
HYPERLINK,scalar,scalar,input:default; output:default
HYPGEOM.DIST,scalar,scalar,input:default; output:default
HYPGEOMDIST,scalar,scalar,input:default; output:default
IF,scalar,scalar,input:default; output:default
IFERROR,scalar,scalar,input:default; output:default
IFNA,scalar,scalar,input:default; output:default
IFS,scalar,scalar,input:default; output:default
IMABS,scalar,scalar,input:default; output:default
IMAGE,scalar,spill,input:default; output:spill_list
IMAGINARY,scalar,scalar,input:default; output:default
IMARGUMENT,scalar,scalar,input:default; output:default
IMCONJUGATE,scalar,scalar,input:default; output:default
IMCOS,scalar,scalar,input:default; output:default
IMCOSH,scalar,scalar,input:default; output:default
IMCOT,scalar,scalar,input:default; output:default
IMCOTH,scalar,scalar,input:default; output:default
IMCSC,scalar,scalar,input:default; output:default
IMCSCH,scalar,scalar,input:default; output:default
IMDIV,scalar,scalar,input:default; output:default
IMEXP,scalar,scalar,input:default; output:default
IMLN,scalar,scalar,input:default; output:default
IMLOG,scalar,scalar,input:default; output:default
IMLOG10,scalar,scalar,input:default; output:default
IMLOG2,scalar,scalar,input:default; output:default
IMPORTDATA,scalar,scalar,input:default; output:default
IMPORTFEED,scalar,scalar,input:default; output:default
IMPORTHTML,scalar,scalar,input:default; output:default
IMPORTRANGE,scalar,scalar,input:default; output:default
IMPORTXML,scalar,scalar,input:default; output:default
IMPOWER,scalar,scalar,input:default; output:default
IMPRODUCT,scalar,scalar,input:default; output:default
IMREAL,scalar,scalar,input:default; output:default
IMSEC,scalar,scalar,input:default; output:default
IMSECH,scalar,scalar,input:default; output:default
IMSIN,scalar,scalar,input:default; output:default
IMSINH,scalar,scalar,input:default; output:default
IMSQRT,scalar,scalar,input:default; output:default
IMSUB,scalar,scalar,input:default; output:default
IMSUM,scalar,scalar,input:default; output:default
IMTAN,scalar,scalar,input:default; output:default
IMTANH,scalar,scalar,input:default; output:default
INDEX,scalar,scalar,input:default; output:default
INDIRECT,scalar,scalar,input:default; output:default
INFO,scalar,scalar,input:default; output:default
INT,scalar,scalar,input:default; output:default
INTERCEPT,scalar,scalar,input:default; output:default
INTRATE,scalar,scalar,input:default; output:default
IPMT,scalar,scalar,input:default; output:default
IRR,column,scalar,input:formula:A1:A12 (irr_converges_edge_excel.json); output:default
ISBETWEEN,scalar,scalar,input:default; output:default
ISBLANK,scalar,scalar,input:default; output:default
