Function,IronCalc,Excel,GoogleSheets,Origin
ABS,Y,Y,Y,Excel+Sheets
ACCRINT,N,Y,Y,Excel+Sheets
ACCRINTM,N,Y,Y,Excel+Sheets
ACOS,Y,Y,Y,Excel+Sheets
ACOSH,Y,Y,Y,Excel+Sheets
ACOT,Y,N,Y,Sheets-only
ACOTH,Y,Y,Y,Excel+Sheets
ADD,N,N,Y,Sheets-only
ADDRESS,N,Y,Y,Excel+Sheets
AGGREGATE,N,Y,N,Excel-only
AMORDEGRC,N,Y,N,Excel-only
AMORLINC,N,Y,Y,Excel+Sheets
AND,Y,Y,Y,Excel+Sheets
ARABIC,Y,Y,Y,Excel+Sheets
AREAS,N,Y,N,Excel-only
ARRAYFORMULA,N,N,Y,Sheets-only
ARRAY_CONSTRAIN,N,N,Y,Sheets-only
ASC,N,Y,Y,Excel+Sheets
ASIN,Y,Y,Y,Excel+Sheets
ASINH,Y,Y,Y,Excel+Sheets
ATAN,Y,Y,Y,Excel+Sheets
ATAN2,Y,Y,Y,Excel+Sheets
ATANH,Y,Y,Y,Excel+Sheets
AVEDEV,Y,Y,Y,Excel+Sheets
AVERAGE,Y,Y,Y,Excel+Sheets
AVERAGE.WEIGHTED,N,N,Y,Sheets-only
AVERAGEA,Y,Y,Y,Excel+Sheets
AVERAGEIF,Y,Y,Y,Excel+Sheets
AVERAGEIFS,Y,Y,Y,Excel+Sheets
BAHTTEXT,N,Y,N,Excel-only
BASE,Y,Y,Y,Excel+Sheets
BESSELI,Y,Y,N,Excel-only
BESSELJ,Y,Y,N,Excel-only
BESSELK,Y,Y,N,Excel-only
BESSELY,Y,Y,N,Excel-only
BETA.DIST,Y,Y,Y,Excel+Sheets
BETA.INV,Y,N,Y,Sheets-only
BETA.INVN,N,Y,N,Excel-only
BETADIST,N,Y,Y,Excel+Sheets
BETAINV,N,Y,Y,Excel+Sheets
BIN2DEC,Y,Y,Y,Excel+Sheets
BIN2HEX,Y,Y,Y,Excel+Sheets
BIN2OCT,Y,Y,Y,Excel+Sheets
BINOM.DIST,Y,Y,Y,Excel+Sheets
BINOM.DIST.RANGE,Y,Y,N,Excel-only
BINOM.INV,Y,Y,Y,Excel+Sheets
BINOMDIST,N,Y,Y,Excel+Sheets
BITAND,Y,Y,Y,Excel+Sheets
BITLSHIFT,Y,Y,Y,Excel+Sheets
BITOR,Y,Y,Y,Excel+Sheets
BITRSHIFT,Y,Y,Y,Excel+Sheets
BITXOR,Y,Y,Y,Excel+Sheets
BYCOL,N,Y,Y,Excel+Sheets
BYROW,N,Y,Y,Excel+Sheets
CALL,N,Y,N,Excel-only
CEILING,Y,Y,Y,Excel+Sheets
CEILING.MATH,Y,Y,Y,Excel+Sheets
