batch_id,function_name,action,target,min_args,max_args,test_cell,test_formula,expected_text,setup,test_cell_2,test_formula_2,expected_text_2,setup_2,implemented_in_code,handler,file_path
1,ABS,implemented,,,,,,,,,,,,yes,fn_abs,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ACCRINT,accrint_basic,,,,A1,"=ACCRINT(1,2,37,0.1,100,1,0)",1,,,,,,no,,
1,ACCRINTM,accrintm_basic,,,,A1,"=ACCRINTM(1,37,0.1,100,0)",1,,,,,,no,,
1,ACOS,implemented,,,,,,,,,,,,yes,fn_acos,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ACOSH,implemented,,,,,,,,,,,,yes,fn_acosh,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ACOT,implemented,,,,,,,,,,,,yes,fn_acot,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ACOTH,implemented,,,,,,,,,,,,yes,fn_acoth,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ADD,alias_sum,Sum,2,,A1,"=ADD(1,2,3)",6,,A2,=ADD(1),#ERROR!,,no,,
1,ADDRESS,address_basic,,,,A1,"=ADDRESS(2,3)",$C$2,,A2,"=ADDRESS(2,3,4)",C2,,no,,
1,AGGREGATE,aggregate_basic,,,,A1,"=AGGREGATE(9,0,1,2,3)",6,,A2,"=AGGREGATE(1,0,1,2,3)",2,,no,,
1,AMORDEGRC,amordegrc_basic,,,,A1,"=AMORDEGRC(1000,1,2,100,2,0.1)",81,,,,,,no,,
1,AMORLINC,amorlinc_basic,,,,A1,"=AMORLINC(1000,1,2,100,2,0.1)",90,,,,,,no,,
1,AND,implemented,,,,,,,,,,,,yes,fn_and,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/logical.rs
1,ARABIC,implemented,,,,,,,,,,,,yes,fn_arabic,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,AREAS,areas_simple,,1,1,B1,=AREAS(A1:A2),1,A1=1;A2=2,,,,,no,,
1,ARRAYFORMULA,passthrough,,1,1,A1,=ARRAYFORMULA(1+2),3,,,,,,no,,
1,ARRAY_CONSTRAIN,array_constrain,,,,A1,"=SUM(ARRAY_CONSTRAIN({1,2;3,4;5,6},2,1))",4,,,,,,no,,
1,ASC,asc,,,,A1,"=ASC(""ＡＢＣ"")",ABC,,,,,,no,,
1,ASIN,implemented,,,,,,,,,,,,yes,fn_asin,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ASINH,implemented,,,,,,,,,,,,yes,fn_asinh,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ATAN,implemented,,,,,,,,,,,,yes,fn_atan,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ATAN2,implemented,,,,,,,,,,,,yes,fn_atan2,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,ATANH,implemented,,,,,,,,,,,,yes,fn_atanh,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/mathematical.rs
1,AVEDEV,implemented,,,,,,,,,,,,yes,fn_avedev,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/statistical/count_and_average.rs
1,AVERAGE,implemented,,,,,,,,,,,,yes,fn_average,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/statistical/count_and_average.rs
1,AVERAGE.WEIGHTED,average_weighted,,,,A1,"=AVERAGE.WEIGHTED({10,20,30},{1,2,3})",23.333333333,,,,,,no,,
1,AVERAGEA,implemented,,,,,,,,,,,,yes,fn_averagea,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/statistical/count_and_average.rs
1,AVERAGEIF,implemented,,,,,,,,,,,,yes,fn_averageif,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/statistical/if_ifs.rs
1,AVERAGEIFS,implemented,,,,,,,,,,,,yes,fn_averageifs,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/base/src/functions/statistical/if_ifs.rs
1,BAHTTEXT,bahttext_basic,,,,A1,=BAHTTEXT(123),123 BAHT,,,,,,no,,
