function,engine,fixture_path,has_expected_text
ABS,excel,fixtures/ABS/abs_basic_excel.json,true
ABS,sheets,fixtures/ABS/abs_basic_sheets.json,true
ACCRINT,excel,fixtures/ACCRINT/accrint_basic_excel.json,false
ACCRINT,sheets,fixtures/ACCRINT/accrint_basic_sheets.json,false
ACCRINTM,excel,fixtures/ACCRINTM/accrintm_basic_excel.json,false
ACCRINTM,sheets,fixtures/ACCRINTM/accrintm_basic_sheets.json,false
ACOS,excel,fixtures/ACOS/acos_basic_excel.json,true
ACOS,sheets,fixtures/ACOS/acos_basic_sheets.json,true
ACOSH,excel,fixtures/ACOSH/acosh_basic_excel.json,true
ACOSH,sheets,fixtures/ACOSH/acosh_basic_sheets.json,true
ACOT,excel,fixtures/ACOT/acot_basic_excel.json,false
ACOT,sheets,fixtures/ACOT/acot_basic_sheets.json,false
ACOTH,excel,fixtures/ACOTH/acoth_basic_excel.json,false
ACOTH,sheets,fixtures/ACOTH/acoth_basic_sheets.json,false
ADD,excel,fixtures/ADD/add_basic_excel.json,true
ADD,sheets,fixtures/ADD/add_basic_sheets.json,true
ADDRESS,excel,fixtures/ADDRESS/address_basic_excel.json,false
ADDRESS,sheets,fixtures/ADDRESS/address_basic_sheets.json,false
AGGREGATE,excel,fixtures/AGGREGATE/aggregate_basic_excel.json,false
AGGREGATE,sheets,fixtures/AGGREGATE/aggregate_basic_sheets.json,false
AMORDEGRC,excel,fixtures/AMORDEGRC/amordegrc_basic_excel.json,false
AMORDEGRC,sheets,fixtures/AMORDEGRC/amordegrc_basic_sheets.json,false
AMORLINC,excel,fixtures/AMORLINC/amorlinc_basic_excel.json,false
AMORLINC,sheets,fixtures/AMORLINC/amorlinc_basic_sheets.json,false
AND,excel,fixtures/AND/and_basic_excel.json,false
AND,sheets,fixtures/AND/and_basic_sheets.json,false
ARABIC,excel,fixtures/ARABIC/arabic_basic_excel.json,false
ARABIC,sheets,fixtures/ARABIC/arabic_basic_sheets.json,false
AREAS,excel,fixtures/AREAS/areas_basic_excel.json,false
AREAS,sheets,fixtures/AREAS/areas_basic_sheets.json,false
ARRAYFORMULA,excel,fixtures/ARRAYFORMULA/arrayformula_basic_excel.json,false
ARRAYFORMULA,sheets,fixtures/ARRAYFORMULA/arrayformula_basic_sheets.json,false
ARRAY_CONSTRAIN,excel,fixtures/ARRAY_CONSTRAIN/array_constrain_basic_excel.json,false
ARRAY_CONSTRAIN,sheets,fixtures/ARRAY_CONSTRAIN/array_constrain_basic_sheets.json,false
ASC,excel,fixtures/ASC/asc_basic_excel.json,false
ASC,sheets,fixtures/ASC/asc_basic_sheets.json,false
ASIN,excel,fixtures/ASIN/asin_basic_excel.json,false
ASIN,sheets,fixtures/ASIN/asin_basic_sheets.json,false
ASINH,excel,fixtures/ASINH/asinh_basic_excel.json,false
ASINH,sheets,fixtures/ASINH/asinh_basic_sheets.json,false
ATAN,excel,fixtures/ATAN/atan_basic_excel.json,false
ATAN,sheets,fixtures/ATAN/atan_basic_sheets.json,false
ATAN2,excel,fixtures/ATAN2/atan2_basic_excel.json,false
ATAN2,sheets,fixtures/ATAN2/atan2_basic_sheets.json,false
ATANH,excel,fixtures/ATANH/atanh_basic_excel.json,false
ATANH,sheets,fixtures/ATANH/atanh_basic_sheets.json,false
AVEDEV,excel,fixtures/AVEDEV/avedev_basic_excel.json,false
AVEDEV,sheets,fixtures/AVEDEV/avedev_basic_sheets.json,false
AVERAGE,excel,fixtures/AVERAGE/average_basic_excel.json,true
AVERAGE,sheets,fixtures/AVERAGE/average_basic_sheets.json,true
AVERAGE.WEIGHTED,excel,fixtures/AVERAGE.WEIGHTED/average.weighted_basic_excel.json,false
AVERAGE.WEIGHTED,sheets,fixtures/AVERAGE.WEIGHTED/average.weighted_basic_sheets.json,false
AVERAGEA,excel,fixtures/AVERAGEA/averagea_basic_excel.json,false
AVERAGEA,sheets,fixtures/AVERAGEA/averagea_basic_sheets.json,false
AVERAGEIF,excel,fixtures/AVERAGEIF/averageif_basic_excel.json,false
AVERAGEIF,sheets,fixtures/AVERAGEIF/averageif_basic_sheets.json,false
AVERAGEIFS,excel,fixtures/AVERAGEIFS/averageifs_basic_excel.json,false
AVERAGEIFS,sheets,fixtures/AVERAGEIFS/averageifs_basic_sheets.json,false
BAHTTEXT,excel,fixtures/BAHTTEXT/bahttext_basic_excel.json,false
BAHTTEXT,sheets,fixtures/BAHTTEXT/bahttext_basic_sheets.json,false
BASE,excel,fixtures/BASE/base_basic_excel.json,false
BASE,sheets,fixtures/BASE/base_basic_sheets.json,false
BESSELI,excel,fixtures/BESSELI/besseli_basic_excel.json,false
BESSELI,sheets,fixtures/BESSELI/besseli_basic_sheets.json,false
BESSELJ,excel,fixtures/BESSELJ/besselj_basic_excel.json,false
BESSELJ,sheets,fixtures/BESSELJ/besselj_basic_sheets.json,false
BESSELK,excel,fixtures/BESSELK/besselk_basic_excel.json,false
BESSELK,sheets,fixtures/BESSELK/besselk_basic_sheets.json,false
BESSELY,excel,fixtures/BESSELY/bessely_basic_excel.json,false
BESSELY,sheets,fixtures/BESSELY/bessely_basic_sheets.json,false
BETA.DIST,excel,fixtures/BETA.DIST/beta.dist_basic_excel.json,false
BETA.DIST,sheets,fixtures/BETA.DIST/beta.dist_basic_sheets.json,false
BETA.INV,excel,fixtures/BETA.INV/beta.inv_basic_excel.json,false
BETA.INV,sheets,fixtures/BETA.INV/beta.inv_basic_sheets.json,false
BETA.INVN,excel,fixtures/BETA.INVN/beta.invn_basic_excel.json,false
