batch,function_name,status,doc_path
14,WEBSERVICE,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WEBSERVICE.md
14,WEEKDAY,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WEEKDAY.md
14,WEEKNUM,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WEEKNUM.md
14,WEIBULL.DIST,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WEIBULL.DIST.md
14,WORKDAY,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WORKDAY.md
14,WORKDAY.INTL,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WORKDAY.INTL.md
14,WRAPCOLS,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WRAPCOLS.md
14,WRAPROWS,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/WRAPROWS.md
14,XIRR,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/XIRR.md
14,XLOOKUP,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/XLOOKUP.md
14,XMATCH,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/XMATCH.md
14,XNPV,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/XNPV.md
14,XOR,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/XOR.md
14,YEAR,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/YEAR.md
14,YEARFRAC,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/YEARFRAC.md
14,YIELD,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/YIELD.md
14,YIELDDISC,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/YIELDDISC.md
14,YIELDMAT,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/YIELDMAT.md
14,Z.TEST,updated,/Users/maxwittenberg/Desktop/dagger_excel/excel_thorobid/Dagger_IronCalc/specs/functions/Z.TEST.md
