batch_id,function_name,implemented_in_code,handler,file_path,action
1,ACCRINT,no,,,unimplemented
1,ACCRINTM,no,,,unimplemented
1,ADD,no,,,alias_sum
1,ADDRESS,no,,,address_basic
1,AGGREGATE,no,,,unimplemented
1,AMORDEGRC,no,,,unimplemented
1,AMORLINC,no,,,unimplemented
1,AREAS,no,,,areas_simple
1,ARRAYFORMULA,no,,,passthrough
1,ARRAY_CONSTRAIN,no,,,array_constrain
1,ASC,no,,,asc
1,AVERAGE.WEIGHTED,no,,,average_weighted
1,BAHTTEXT,no,,,unimplemented
1,BETA.INVN,no,,,alias_beta_inv
2,BYCOL,no,,,unimplemented
2,BYROW,no,,,unimplemented
2,CALL,no,,,unimplemented
2,CHAR,no,,,unimplemented
2,CHOOSECOLS,no,,,unimplemented
2,CHOOSEROWS,no,,,unimplemented
2,CLEAN,no,,,unimplemented
2,CODE,no,,,unimplemented
2,COPILOT,no,,,unimplemented
3,COUNTUNIQUE,no,,,unimplemented
3,COUPDAYBS,no,,,unimplemented
3,COUPDAYS,no,,,unimplemented
3,COUPDAYSNC,no,,,unimplemented
3,COUPNCD,no,,,unimplemented
3,COUPNUM,no,,,unimplemented
3,COUPPCD,no,,,unimplemented
3,CRITBINOM,no,,,unimplemented
3,CUBEKPIMEMBER,no,,,unimplemented
3,CUBEMEMBER,no,,,unimplemented
3,CUBEMEMBERPROPERTY,no,,,unimplemented
3,CUBERANKEDMEMBER,no,,,unimplemented
3,CUBESET,no,,,unimplemented
3,CUBESETCOUNT,no,,,unimplemented
3,CUBEVALUE,no,,,unimplemented
3,DBCS,no,,,unimplemented
4,DETECTLANGUAGE,no,,,unimplemented
4,DISC,no,,,unimplemented
4,DIVIDE,no,,,unimplemented
4,DOLLAR,no,,,unimplemented
4,DROP,no,,,unimplemented
4,DURATION,no,,,unimplemented
4,ENCODEURL,no,,,unimplemented
4,EPOCHTODATE,no,,,unimplemented
4,EQ,no,,,unimplemented
4,EUROCONVERT,no,,,unimplemented
5,EXPAND,no,,,unimplemented
5,FILTER,no,,,unimplemented
5,FILTERXML,no,,,unimplemented
5,FINDB,no,,,unimplemented
5,FIXED,no,,,unimplemented
5,FLATTEN,no,,,unimplemented
5,FORECAST,no,,,unimplemented
5,FORECAST.ETS,no,,,unimplemented
5,FORECAST.ETS.CONFINT,no,,,unimplemented
5,FORECAST.ETS.SEASONALITY,no,,,unimplemented
5,FORECAST.ETS.STAT,no,,,unimplemented
5,FORECAST.LINEAR,no,,,unimplemented
5,FREQUENCY,no,,,unimplemented
5,FVSCHEDULE,no,,,unimplemented
6,GETPIVOTDATA,no,,,unimplemented
6,GOOGLEFINANCE,no,,,unimplemented
6,GOOGLETRANSLATE,no,,,unimplemented
6,GROUPBY,no,,,unimplemented
6,GROWTH,no,,,unimplemented
6,GT,no,,,unimplemented
6,GTE,no,,,unimplemented
6,HSTACK,no,,,unimplemented
6,HYPERLINK,no,,,unimplemented
6,IMAGE,no,,,unimplemented
6,IMCOTH,no,,,unimplemented
6,IMLOG,no,,,unimplemented
7,IMPORTDATA,no,,,unimplemented
7,IMPORTFEED,no,,,unimplemented
7,IMPORTHTML,no,,,unimplemented
7,IMPORTRANGE,no,,,unimplemented
7,IMPORTXML,no,,,unimplemented
7,IMTANH,no,,,unimplemented
7,INTRATE,no,,,unimplemented
7,ISBETWEEN,no,,,unimplemented
7,ISDATE,no,,,unimplemented
7,ISEMAIL,no,,,unimplemented
8,ISOMITTED,no,,,unimplemented
8,ISURL,no,,,unimplemented
8,JIS,no,,,unimplemented
8,JOIN,no,,,unimplemented
8,LAMBDA,no,,,unimplemented
8,LEFTB,no,,,unimplemented
8,LENB,no,,,unimplemented
8,LET,no,,,unimplemented
8,LINEST,no,,,unimplemented
8,LOGEST,no,,,unimplemented
8,LT,no,,,unimplemented
8,LTE,no,,,unimplemented
8,MAKEARRAY,no,,,unimplemented
8,MAP,no,,,unimplemented
8,MARGINOFERROR,no,,,unimplemented
8,MDETERM,no,,,unimplemented
8,MDURATION,no,,,unimplemented
8,MIDB,no,,,unimplemented
9,MINUS,no,,,unimplemented
9,MINVERSE,no,,,unimplemented
9,MMULT,no,,,unimplemented
9,MODE,no,,,unimplemented
9,MODE.MULT,no,,,unimplemented
9,MODE.SNGL,no,,,unimplemented
9,MULTINOMIAL,no,,,unimplemented
9,MULTIPLY,no,,,unimplemented
9,MUNIT,no,,,unimplemented
9,NE,no,,,unimplemented
9,NUMBERVALUE,no,,,unimplemented
9,ODDFPRICE,no,,,unimplemented
9,ODDFYIELD,no,,,unimplemented
10,ODDLPRICE,no,,,unimplemented
10,ODDLYIELD,no,,,unimplemented
10,PERCENTILE,no,,,unimplemented
10,PERCENTILE.EXC,no,,,unimplemented
10,PERCENTILE.INC,no,,,unimplemented
10,PERCENTRANK,no,,,unimplemented
10,PERCENTRANK.EXC,no,,,unimplemented
10,PERCENTRANK.INC,no,,,unimplemented
10,PERMUT,no,,,unimplemented
10,PERMUTATIONA,no,,,unimplemented
10,PHONETIC,no,,,unimplemented
10,PIVOTBY,no,,,unimplemented
10,POW,no,,,unimplemented
10,PRICE,no,,,unimplemented
10,PRICEDISC,no,,,unimplemented
10,PRICEMAT,no,,,unimplemented
10,PROB,no,,,unimplemented
10,PROPER,no,,,unimplemented
10,QUARTILE,no,,,unimplemented
10,QUARTILE.EXC,no,,,unimplemented
10,QUARTILE.INC,no,,,unimplemented
10,QUERY,no,,,unimplemented
10,RANDARRAY,no,,,unimplemented
10,RANK,no,,,unimplemented
11,RECEIVED,no,,,unimplemented
11,REDUCE,no,,,unimplemented
11,REGEXEXTRACT,no,,,unimplemented
11,REGEXMATCH,no,,,unimplemented
11,REGEXREPLACE,no,,,unimplemented
11,REGISTER.ID,no,,,unimplemented
11,REPLACE,no,,,unimplemented
11,REPLACEB,no,,,unimplemented
11,RIGHTB,no,,,unimplemented
11,RTD,no,,,unimplemented
11,SCAN,no,,,unimplemented
11,SEARCHB,no,,,unimplemented
11,SEQUENCE,no,,,unimplemented
11,SERIESSUM,no,,,unimplemented
12,SORT,no,,,unimplemented
12,SORTBY,no,,,unimplemented
12,SORTN,no,,,unimplemented
12,SPARKLINE,no,,,unimplemented
12,SPLIT,no,,,unimplemented
12,STOCKHISTORY,no,,,unimplemented
12,SUMPRODUCT,no,,,unimplemented
12,TAKE,no,,,unimplemented
13,TEXTSPLIT,no,,,unimplemented
13,TOCOL,no,,,unimplemented
13,TOROW,no,,,unimplemented
13,TO_DATE,no,,,unimplemented
13,TO_DOLLARS,no,,,unimplemented
13,TO_PERCENT,no,,,unimplemented
13,TO_PURE_NUMBER,no,,,unimplemented
13,TO_TEXT,no,,,unimplemented
13,TRANSPOSE,no,,,unimplemented
13,TREND,no,,,unimplemented
13,TRIMMEAN,no,,,unimplemented
13,TRIMRANGE,no,,,unimplemented
13,UMINUS,no,,,unimplemented
13,UNARY_PERCENT,no,,,unimplemented
13,UNICHAR,no,,,unimplemented
13,UNIQUE,no,,,unimplemented
13,UPLUS,no,,,unimplemented
13,VDB,no,,,unimplemented
13,VSTACK,no,,,unimplemented
14,WEBSERVICE,no,,,unimplemented
14,WRAPCOLS,no,,,unimplemented
14,WRAPROWS,no,,,unimplemented
14,XMATCH,no,,,unimplemented
14,YIELD,no,,,unimplemented
14,YIELDDISC,no,,,unimplemented
14,YIELDMAT,no,,,unimplemented
