function_name,excel,sheets,ironcalc,hyperformula
ACCRINT,Y,Y,N,N
ACCRINTM,Y,Y,N,N
ADD,N,Y,N,N
AGGREGATE,Y,N,N,N
AMORDEGRC,Y,N,N,N
AMORLINC,Y,Y,N,N
AREAS,Y,N,N,N
ASC,Y,Y,N,N
AVERAGE.WEIGHTED,N,Y,N,N
AVERAGEIFS,Y,Y,Y,N
BAHTTEXT,Y,N,N,N
BETA.INVN,Y,N,N,N
BINOM.DIST.RANGE,Y,N,Y,N
BYCOL,Y,Y,N,N
BYROW,Y,Y,N,N
CALL,Y,N,N,N
CELL,Y,Y,Y,N
CHOOSECOLS,Y,Y,N,N
CHOOSEROWS,Y,Y,N,N
CONCAT,Y,Y,Y,N
CONVERT,Y,Y,Y,N
COPILOT,Y,N,N,N
COUPDAYBS,Y,Y,N,N
COUPDAYS,Y,Y,N,N
COUPDAYSNC,Y,Y,N,N
COUPNCD,Y,Y,N,N
COUPNUM,Y,Y,N,N
COUPPCD,Y,Y,N,N
CUBEKPIMEMBER,Y,N,N,N
CUBEMEMBER,Y,N,N,N
CUBEMEMBERPROPERTY,Y,N,N,N
CUBERANKEDMEMBER,Y,N,N,N
CUBESET,Y,N,N,N
CUBESETCOUNT,Y,N,N,N
CUBEVALUE,Y,N,N,N
DAVERAGE,Y,Y,Y,N
DBCS,Y,N,N,N
DCOUNT,Y,Y,Y,N
DCOUNTA,Y,Y,Y,N
DETECTLANGUAGE,Y,Y,N,N
DGET,Y,Y,Y,N
DISC,Y,Y,N,N
DIVIDE,N,Y,N,N
DMAX,Y,Y,Y,N
DMIN,Y,Y,Y,N
DOLLAR,Y,Y,N,N
DPRODUCT,Y,Y,Y,N
DROP,Y,N,N,N
DSTDEV,Y,Y,Y,N
DSTDEVP,Y,Y,Y,N
DSUM,Y,Y,Y,N
DURATION,Y,Y,N,N
DVAR,Y,Y,Y,N
DVARP,Y,Y,Y,N
ENCODEURL,Y,Y,N,N
EPOCHTODATE,N,Y,N,N
EQ,N,Y,N,N
ERF.PRECISE,Y,Y,Y,N
ERFC.PRECISE,Y,Y,Y,N
ERROR.TYPE,Y,Y,Y,N
EUROCONVERT,Y,N,N,N
EXPAND,Y,N,N,N
FILTERXML,Y,N,N,N
FINDB,N,Y,N,N
FIXED,Y,Y,N,N
FLATTEN,N,Y,N,N
FORECAST,Y,Y,N,N
FORECAST.ETS,Y,N,N,N
FORECAST.ETS.CONFINT,Y,N,N,N
FORECAST.ETS.SEASONALITY,Y,N,N,N
FORECAST.ETS.STAT,Y,N,N,N
FORECAST.LINEAR,Y,Y,N,N
FREQUENCY,Y,Y,N,N
GESTEP,Y,Y,Y,N
GETPIVOTDATA,Y,Y,N,N
GOOGLEFINANCE,N,Y,N,N
GOOGLETRANSLATE,N,Y,N,N
GROUPBY,Y,N,N,N
GROWTH,Y,Y,N,N
GT,N,Y,N,N
GTE,N,Y,N,N
HSTACK,Y,Y,N,N
IMAGE,Y,Y,N,N
IMCOTH,N,Y,N,N
IMLOG,N,Y,N,N
IMPORTDATA,N,Y,N,N
IMPORTFEED,N,Y,N,N
IMPORTHTML,N,Y,N,N
IMPORTRANGE,N,Y,N,N
IMPORTXML,N,Y,N,N
IMTANH,N,Y,N,N
INDIRECT,Y,Y,Y,N
INFO,Y,N,Y,N
INTERCEPT,Y,Y,Y,N
INTRATE,Y,Y,N,N
ISBETWEEN,N,Y,N,N
ISDATE,N,Y,N,N
ISEMAIL,N,Y,N,N
ISOMITTED,Y,N,N,N
ISURL,N,Y,N,N
JIS,Y,N,N,N
JOIN,N,Y,N,N
KURT,Y,Y,Y,N
LAMBDA,Y,Y,N,N
LEFTB,N,Y,N,N
LENB,N,Y,N,N
LET,Y,Y,N,N
LINEST,Y,Y,N,N
LOGEST,Y,Y,N,N
LOOKUP,Y,Y,Y,N
LT,N,Y,N,N
LTE,N,Y,N,N
MAKEARRAY,Y,Y,N,N
MAP,Y,Y,N,N
MARGINOFERROR,N,Y,N,N
MDETERM,Y,Y,N,N
