function_name,excel,sheets,ironcalc,hyperformula,missing_in_hf,missing_in_ironcalc
ABS,Y,Y,Y,Y,N,N
ACCRINT,Y,Y,N,N,Y,Y
ACCRINTM,Y,Y,N,N,Y,Y
ACOS,Y,Y,Y,Y,N,N
ACOSH,Y,Y,Y,Y,N,N
ACOT,N,Y,Y,Y,N,N
ACOTH,Y,Y,Y,Y,N,N
ADD,N,Y,N,N,Y,Y
ADDRESS,Y,Y,N,Y,N,Y
AGGREGATE,Y,N,N,N,Y,Y
AMORDEGRC,Y,N,N,N,Y,Y
AMORLINC,Y,Y,N,N,Y,Y
AND,Y,Y,Y,Y,N,N
ARABIC,Y,Y,Y,Y,N,N
AREAS,Y,N,N,N,Y,Y
ARRAYFORMULA,N,Y,N,Y,N,Y
ARRAY_CONSTRAIN,N,Y,N,Y,N,Y
ASC,Y,Y,N,N,Y,Y
ASIN,Y,Y,Y,Y,N,N
ASINH,Y,Y,Y,Y,N,N
ATAN,Y,Y,Y,Y,N,N
ATAN2,Y,Y,Y,Y,N,N
ATANH,Y,Y,Y,Y,N,N
AVEDEV,Y,Y,Y,Y,N,N
AVERAGE,Y,Y,Y,Y,N,N
AVERAGE.WEIGHTED,N,Y,N,N,Y,Y
AVERAGEA,Y,Y,Y,Y,N,N
AVERAGEIF,Y,Y,Y,Y,N,N
AVERAGEIFS,Y,Y,Y,N,Y,N
BAHTTEXT,Y,N,N,N,Y,Y
BASE,Y,Y,Y,Y,N,N
BESSELI,Y,N,Y,Y,N,N
BESSELJ,Y,N,Y,Y,N,N
BESSELK,Y,N,Y,Y,N,N
BESSELY,Y,N,Y,Y,N,N
BETA.DIST,Y,Y,Y,Y,N,N
BETA.INV,Y,Y,Y,Y,N,N
BETA.INVN,Y,N,N,N,Y,Y
BIN2DEC,Y,Y,Y,Y,N,N
BIN2HEX,Y,Y,Y,Y,N,N
BIN2OCT,Y,Y,Y,Y,N,N
BINOM.DIST,Y,Y,Y,Y,N,N
BINOM.DIST.RANGE,Y,N,Y,N,Y,N
BINOM.INV,Y,Y,Y,Y,N,N
BITAND,Y,Y,Y,Y,N,N
BITLSHIFT,Y,Y,Y,Y,N,N
BITOR,Y,Y,Y,Y,N,N
BITRSHIFT,Y,Y,Y,Y,N,N
BITXOR,Y,Y,Y,Y,N,N
BYCOL,Y,Y,N,N,Y,Y
BYROW,Y,Y,N,N,Y,Y
CALL,Y,N,N,N,Y,Y
CEILING,Y,Y,Y,Y,N,N
CEILING.MATH,Y,Y,Y,Y,N,N
CEILING.PRECISE,Y,Y,Y,Y,N,N
CELL,Y,Y,Y,N,Y,N
CHAR,Y,Y,N,Y,N,Y
CHISQ.DIST,Y,Y,Y,Y,N,N
CHISQ.DIST.RT,Y,Y,Y,Y,N,N
CHISQ.INV,Y,Y,Y,Y,N,N
CHISQ.INV.RT,Y,Y,Y,Y,N,N
CHISQ.TEST,Y,Y,Y,Y,N,N
CHOOSE,Y,Y,Y,Y,N,N
CHOOSECOLS,Y,Y,N,N,Y,Y
CHOOSEROWS,Y,Y,N,N,Y,Y
CLEAN,Y,Y,N,Y,N,Y
CODE,Y,Y,N,Y,N,Y
COLUMN,Y,Y,Y,Y,N,N
COLUMNS,Y,Y,Y,Y,N,N
COMBIN,Y,Y,Y,Y,N,N
COMBINA,Y,Y,Y,Y,N,N
COMPLEX,Y,Y,Y,Y,N,N
CONCAT,Y,Y,Y,N,Y,N
CONCATENATE,Y,Y,Y,Y,N,N
CONFIDENCE.NORM,Y,Y,Y,Y,N,N
CONFIDENCE.T,Y,Y,Y,Y,N,N
CONVERT,Y,Y,Y,N,Y,N
COPILOT,Y,N,N,N,Y,Y
CORREL,Y,Y,Y,Y,N,N
COS,Y,Y,Y,Y,N,N
COSH,Y,Y,Y,Y,N,N
COT,Y,Y,Y,Y,N,N
COTH,Y,Y,Y,Y,N,N
COUNT,Y,Y,Y,Y,N,N
COUNTA,Y,Y,Y,Y,N,N
COUNTBLANK,Y,Y,Y,Y,N,N
COUNTIF,Y,Y,Y,Y,N,N
COUNTIFS,Y,Y,Y,Y,N,N
COUNTUNIQUE,N,Y,N,Y,N,Y
COUPDAYBS,Y,Y,N,N,Y,Y
COUPDAYS,Y,Y,N,N,Y,Y
COUPDAYSNC,Y,Y,N,N,Y,Y
COUPNCD,Y,Y,N,N,Y,Y
COUPNUM,Y,Y,N,N,Y,Y
COUPPCD,Y,Y,N,N,Y,Y
COVARIANCE.P,Y,Y,Y,Y,N,N
COVARIANCE.S,Y,Y,Y,Y,N,N
CRITBINOM,Y,Y,N,Y,N,Y
CSC,Y,Y,Y,Y,N,N
CSCH,Y,Y,Y,Y,N,N
CUBEKPIMEMBER,Y,N,N,N,Y,Y
CUBEMEMBER,Y,N,N,N,Y,Y
CUBEMEMBERPROPERTY,Y,N,N,N,Y,Y
CUBERANKEDMEMBER,Y,N,N,N,Y,Y
CUBESET,Y,N,N,N,Y,Y
CUBESETCOUNT,Y,N,N,N,Y,Y
CUBEVALUE,Y,N,N,N,Y,Y
CUMIPMT,Y,Y,Y,Y,N,N
CUMPRINC,Y,Y,Y,Y,N,N
DATE,Y,Y,Y,Y,N,N
DATEDIF,Y,Y,Y,Y,N,N
DATEVALUE,Y,Y,Y,Y,N,N
DAVERAGE,Y,Y,Y,N,Y,N
DAY,Y,Y,Y,Y,N,N
DAYS,Y,Y,Y,Y,N,N
DAYS360,Y,Y,Y,Y,N,N
DB,Y,Y,Y,Y,N,N
DBCS,Y,N,N,N,Y,Y
DCOUNT,Y,Y,Y,N,Y,N
DCOUNTA,Y,Y,Y,N,Y,N
DDB,Y,Y,Y,Y,N,N
DEC2BIN,Y,Y,Y,Y,N,N
DEC2HEX,Y,Y,Y,Y,N,N
DEC2OCT,Y,Y,Y,Y,N,N
DECIMAL,Y,Y,Y,Y,N,N
DEGREES,Y,Y,Y,Y,N,N
DELTA,Y,Y,Y,Y,N,N
DETECTLANGUAGE,Y,Y,N,N,Y,Y
DEVSQ,Y,Y,Y,Y,N,N
DGET,Y,Y,Y,N,Y,N
DISC,Y,Y,N,N,Y,Y
DIVIDE,N,Y,N,N,Y,Y
DMAX,Y,Y,Y,N,Y,N
DMIN,Y,Y,Y,N,Y,N
DOLLAR,Y,Y,N,N,Y,Y
DOLLARDE,Y,Y,Y,Y,N,N
DOLLARFR,Y,Y,Y,Y,N,N
DPRODUCT,Y,Y,Y,N,Y,N
DROP,Y,N,N,N,Y,Y
DSTDEV,Y,Y,Y,N,Y,N
DSTDEVP,Y,Y,Y,N,Y,N
DSUM,Y,Y,Y,N,Y,N
DURATION,Y,Y,N,N,Y,Y
DVAR,Y,Y,Y,N,Y,N
DVARP,Y,Y,Y,N,Y,N
EDATE,Y,Y,Y,Y,N,N
EFFECT,Y,Y,Y,Y,N,N
ENCODEURL,Y,Y,N,N,Y,Y
EOMONTH,Y,Y,Y,Y,N,N
EPOCHTODATE,N,Y,N,N,Y,Y
EQ,N,Y,N,N,Y,Y
ERF,Y,Y,Y,Y,N,N
ERF.PRECISE,Y,Y,Y,N,Y,N
ERFC,Y,Y,Y,Y,N,N
ERFC.PRECISE,Y,Y,Y,N,Y,N
ERROR.TYPE,Y,Y,Y,N,Y,N
EUROCONVERT,Y,N,N,N,Y,Y
EVEN,Y,Y,Y,Y,N,N
EXACT,Y,Y,Y,Y,N,N
EXP,Y,Y,Y,Y,N,N
EXPAND,Y,N,N,N,Y,Y
EXPON.DIST,Y,Y,Y,Y,N,N
F.DIST,Y,Y,Y,Y,N,N
F.DIST.RT,Y,Y,Y,Y,N,N
F.INV,Y,Y,Y,Y,N,N
F.INV.RT,Y,Y,Y,Y,N,N
F.TEST,Y,Y,Y,Y,N,N
FACT,Y,Y,Y,Y,N,N
FACTDOUBLE,Y,Y,Y,Y,N,N
FALSE,Y,Y,Y,Y,N,N
FILTER,Y,Y,N,Y,N,Y
FILTERXML,Y,N,N,N,Y,Y
FIND,N,Y,Y,Y,N,N
FINDB,N,Y,N,N,Y,Y
FISHER,Y,Y,Y,Y,N,N
FISHERINV,Y,Y,Y,Y,N,N
FIXED,Y,Y,N,N,Y,Y
FLATTEN,N,Y,N,N,Y,Y
FLOOR,Y,Y,Y,Y,N,N
FLOOR.MATH,Y,Y,Y,Y,N,N
FLOOR.PRECISE,Y,Y,Y,Y,N,N
FORECAST,Y,Y,N,N,Y,Y
FORECAST.ETS,Y,N,N,N,Y,Y
FORECAST.ETS.CONFINT,Y,N,N,N,Y,Y
FORECAST.ETS.SEASONALITY,Y,N,N,N,Y,Y
FORECAST.ETS.STAT,Y,N,N,N,Y,Y
FORECAST.LINEAR,Y,Y,N,N,Y,Y
FORMULATEXT,Y,Y,Y,Y,N,N
FREQUENCY,Y,Y,N,N,Y,Y
FTEST,Y,Y,Y,Y,N,N
FV,Y,Y,Y,Y,N,N
FVSCHEDULE,Y,Y,N,Y,N,Y
GAMMA,Y,Y,Y,Y,N,N
GAMMA.DIST,Y,Y,Y,Y,N,N
GAMMA.INV,Y,Y,Y,Y,N,N
GAMMADIST,Y,Y,Y,Y,N,N
GAMMAINV,Y,Y,Y,Y,N,N
GAMMALN,Y,Y,Y,Y,N,N
GAMMALN.PRECISE,Y,Y,Y,Y,N,N
GAUSS,Y,Y,Y,Y,N,N
GCD,Y,Y,Y,Y,N,N
GEOMEAN,Y,Y,Y,Y,N,N
GESTEP,Y,Y,Y,N,Y,N
GETPIVOTDATA,Y,Y,N,N,Y,Y
GOOGLEFINANCE,N,Y,N,N,Y,Y
GOOGLETRANSLATE,N,Y,N,N,Y,Y
GROUPBY,Y,N,N,N,Y,Y
