function_name,excel,sheets,ironcalc,hyperformula
ADDRESS,Y,Y,N,Y
ARRAYFORMULA,N,Y,N,Y
ARRAY_CONSTRAIN,N,Y,N,Y
CHAR,Y,Y,N,Y
CLEAN,Y,Y,N,Y
CODE,Y,Y,N,Y
COUNTUNIQUE,N,Y,N,Y
CRITBINOM,Y,Y,N,Y
FILTER,Y,Y,N,Y
FTEST,Y,Y,N,Y
FVSCHEDULE,Y,Y,N,Y
GAMMADIST,Y,Y,N,Y
GAMMAINV,Y,Y,N,Y
HYPERLINK,Y,Y,N,Y
HYPGEOMDIST,Y,Y,N,Y
MMULT,Y,Y,N,Y
MULTINOMIAL,Y,Y,N,Y
NEGBINOMDIST,Y,Y,N,Y
PROPER,Y,Y,N,Y
REPLACE,N,Y,N,Y
SERIESSUM,Y,Y,N,Y
SPLIT,N,Y,N,Y
SUMPRODUCT,Y,Y,N,Y
TRANSPOSE,Y,Y,N,Y
TTEST,Y,Y,N,Y
UNICHAR,Y,Y,N,Y
