function_name,group,excel,sheets,ironcalc,hyperformula,status_prompt,status_impl,status_tests,status_oracle,status_done,last_updated,notes
ADDRESS,Lookup/Ref,Y,Y,N,Y,ready,pending,pending,pending,pending,,
ARRAYFORMULA,Array/Matrix,N,Y,N,Y,ready,pending,pending,pending,pending,,
ARRAY_CONSTRAIN,Array/Matrix,N,Y,N,Y,ready,pending,pending,pending,pending,,
CHAR,Text,Y,Y,N,Y,ready,pending,pending,pending,pending,,
CLEAN,Text,Y,Y,N,Y,ready,pending,pending,pending,pending,,
CODE,Text,Y,Y,N,Y,ready,pending,pending,pending,pending,,
COUNTUNIQUE,Aggregation,N,Y,N,Y,ready,pending,pending,pending,pending,,
CRITBINOM,Statistical,Y,Y,N,Y,ready,pending,pending,pending,pending,,
FILTER,Array/Matrix,Y,Y,N,Y,ready,pending,pending,pending,pending,,
FVSCHEDULE,Math/Financial,Y,Y,N,Y,ready,pending,pending,pending,pending,,
HYPERLINK,Lookup/Ref,Y,Y,N,Y,ready,pending,pending,pending,pending,,
MMULT,Array/Matrix,Y,Y,N,Y,ready,pending,pending,pending,pending,,
MULTINOMIAL,Math/Financial,Y,Y,N,Y,ready,pending,pending,pending,pending,,
PROPER,Text,Y,Y,N,Y,ready,pending,pending,pending,pending,,
REPLACE,Text,Y,Y,N,Y,ready,pending,pending,pending,pending,,
SERIESSUM,Math/Financial,Y,Y,N,Y,ready,pending,pending,pending,pending,,
SPLIT,Array/Matrix,N,Y,N,Y,ready,pending,pending,pending,pending,,
SUMPRODUCT,Math/Financial,Y,Y,N,Y,ready,pending,pending,pending,pending,,
TRANSPOSE,Array/Matrix,Y,Y,N,Y,ready,pending,pending,pending,pending,,
UNICHAR,Text,Y,Y,N,Y,ready,pending,pending,pending,pending,,
